Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,233.625061,240.000061,232.087555,237.412552,232.183533,4467194
2018-01-02,236.887558,243.000061,235.837555,239.025055,233.760513,3832689
2018-01-03,240.300064,240.300064,231.562561,232.462555,227.342560,2930235
2018-01-04,232.575058,234.750061,230.587555,233.737564,228.589478,1952778
2018-01-05,234.750061,235.425064,230.775055,232.162552,227.049164,2150939
2018-01-08,232.500061,234.675064,231.825058,233.362564,228.222748,2380330
2018-01-09,234.450058,240.000061,229.800064,237.900055,232.660294,6100761
2018-01-10,237.300064,245.887558,236.325058,245.025055,239.628357,5081516
2018-01-11,242.662567,244.537567,239.250061,240.825058,235.520874,2821948
2018-01-12,240.750061,242.812561,237.900055,239.100052,233.833862,4216884
2018-01-15,239.137558,243.187561,235.050064,236.250061,231.046631,1593612
2018-01-16,237.675064,250.500061,237.000061,248.962555,243.479156,8221924
2018-01-17,249.750061,250.125061,243.750061,244.275055,238.894882,4056673
2018-01-18,245.250061,246.187561,241.612564,244.012558,238.638153,2361040
2018-01-19,245.250061,247.500061,240.375061,246.712555,241.278687,2144134
2018-01-22,237.750061,246.712555,237.750061,241.162567,235.850967,6096757
2018-01-23,241.575058,242.212555,235.050064,236.437561,231.230011,4306701
2018-01-24,237.375061,242.550064,234.150055,235.462555,230.276459,8771028
2018-01-25,236.775055,238.500061,231.562561,233.962555,228.809525,11064915
2018-01-29,235.575058,237.075058,232.200058,233.362564,228.222748,4698634
2018-01-30,232.162552,234.225052,228.525055,230.475052,225.398834,3039996
2018-01-31,229.575058,231.712555,226.162552,228.525055,224.221420,3765216
2018-02-01,228.787552,231.825058,225.000061,225.562561,221.314728,2936436
2018-02-02,224.475052,226.837555,221.400055,225.450058,221.204346,3356831
2018-02-05,223.500061,229.162552,221.962555,224.062561,219.842987,2925527
2018-02-06,218.775055,222.112549,217.575058,220.987549,216.825882,3244655
2018-02-07,223.650055,223.650055,216.000061,217.012558,212.925751,3331381
2018-02-08,217.575058,220.987549,215.287552,217.350052,213.256882,7062754
2018-02-09,216.750061,216.750061,213.000046,213.750046,209.724670,4202634
2018-02-12,215.925049,218.212555,214.425049,216.712555,212.631378,3361144
2018-02-14,217.500061,222.562561,217.162552,220.087555,215.942841,4031561
2018-02-15,221.700058,221.700058,217.837555,219.375061,215.243759,2207532
2018-02-16,219.712555,221.925049,217.537552,218.250061,214.139954,4104522
2018-02-19,219.750061,219.750061,216.600052,217.462555,213.367279,2210435
2018-02-20,217.500061,219.937561,216.825058,218.587555,214.471085,4580312
2018-02-21,220.500061,221.137558,217.912552,219.150055,215.022980,6874135
2018-02-22,219.675049,220.687561,218.287552,219.487549,215.354126,6419250
2018-02-23,221.625061,221.962555,219.225052,221.250061,217.083450,4889884
2018-02-26,221.100052,221.775055,217.800049,218.700058,214.581451,6709467
2018-02-27,219.337555,220.762558,218.362549,218.812561,214.691849,5233517
2018-02-28,219.750061,220.350052,216.750061,219.600052,215.464508,6862287
2018-03-01,219.600052,220.575058,218.400055,219.375061,215.243759,5447711
2018-03-05,220.200058,220.312561,217.350052,218.212555,214.103134,4998325
2018-03-06,218.437561,218.962555,214.612549,215.212555,211.159622,6302115
2018-03-07,216.337555,218.137558,213.225052,214.012558,209.982254,2434170
2018-03-08,214.837555,215.812546,212.362549,213.900055,209.871857,2693676
2018-03-09,213.750046,215.925049,213.075058,213.787552,209.761475,1340727
2018-03-12,214.725052,219.000061,214.575058,218.025055,213.919174,2329131
2018-03-13,219.375061,224.550049,219.375061,222.450058,218.260834,4273121
2018-03-14,221.250061,222.450058,219.750061,220.387558,216.237183,2773668
2018-03-15,221.587555,226.500061,219.000061,220.050049,215.906036,6590570
2018-03-16,221.250061,222.862549,218.287552,221.812561,217.635361,6445545
2018-03-19,220.162552,222.375061,214.950058,216.487549,212.410614,1981635
